기간,대륙별,합계,관광,상용,공용,유학/연수,기타
2007,합계,6448240,4388434,321513,37060,80478,1620755
2007,아시아주,4746840,3443533,253138,8245,75219,966705
2007,미주,716336,506309,32313,26688,2035,148991
2007,구주,559432,342368,23611,1273,2818,189362
2007,대양주,107829,84737,5657,351,79,17005
2007,아프리카,23624,11376,6791,501,326,4630
2008,합계,6890841,4641804,325409,36464,98952,1788212
2008,아시아주,5092437,3626728,255487,7484,92377,1110361
2008,미주,744615,524414,31272,26766,2219,159944
2008,구주,592303,375878,24976,1161,3663,186625
2008,대양주,127569,102717,6373,422,113,17944
2008,아프리카,26209,11922,7295,628,580,5784
2009,합계,7817533,5685194,277312,34821,123012,1697194
2009,아시아주,6074513,4651958,225395,7973,115050,1074137
2009,미주,751697,540065,17303,24755,2379,167195
2009,구주,597762,375396,21179,1136,4693,195358
2009,대양주,130446,106274,5384,439,167,18182
2009,아프리카,28501,11330,8037,511,722,7901
2010,합계,8797658,6366884,279066,32051,137896,1981761
2010,아시아주,6838514,5248225,224006,8273,128122,1229888
2010,미주,813860,585219,15297,21023,2779,189542
2010,구주,645753,401829,25493,1218,5831,211382
2010,대양주,146089,117773,5990,615,207,21504
2010,아프리카,33756,13675,8267,922,956,9936
2011,합계,9794796,7203107,243878,26716,149723,2171372
2011,아시아주,7766292,6032504,193903,8096,138752,1393037
2011,미주,827383,600216,13364,16009,3215,194579
2011,구주,681025,427350,24007,1047,6478,222143
2011,대양주,155654,126267,5707,575,218,22887
2011,아프리카,36979,16637,6889,986,1060,11407
2012,합계,11140028,8656818,215864,29676,145633,2092037
2012,아시아주,9009323,7384930,167419,11533,132563,1312878
2012,미주,876149,646050,8848,15322,3471,202458
2012,구주,717315,469425,27321,1404,7785,211380
2012,대양주,166304,137334,3957,528,240,24245
2012,아프리카,41236,18981,8287,887,1573,11508
2013,합계,12175550,9075688,297069,30823,152100,2619870
2013,아시아주,9978587,7779999,234375,12517,135635,1816061
2013,미주,915622,655387,13085,15627,4666,226857
2013,구주,768185,493105,35596,1293,9670,228521
2013,대양주,160047,126366,5442,527,247,27465
2013,아프리카,43414,20699,8530,858,1881,11446
2014,합계,14201516,10927480,270794,44483,163446,2795313
2014,아시아주,11863784,9475397,210458,22702,144357,2010870
2014,미주,974021,713887,13553,18457,5183,222941
2014,구주,848530,574965,33614,1467,11481,227003
2014,대양주,177934,141137,6129,499,328,29841
2014,아프리카,44053,21860,6976,1355,2090,11772
2015,합계,13231651,10135489,195325,48269,202708,2649860
2015,아시아주,10967739,8710704,145388,23884,180908,1906855
2015,미주,974153,717737,9206,21033,5820,220357
2015,구주,806438,547938,30345,1753,13190,213212
2015,대양주,168064,134211,4622,600,400,28231
2015,아프리카,44525,24605,5733,994,2380,10813
2016,합계,17241823,13932925,187507,51467,250716,2819208
2016,아시아주,14657893,12287529,144022,23787,226798,1975757
2016,미주,1116157,830522,6549,24297,6146,248643
2016,구주,942673,628667,25904,1835,14787,271480
2016,대양주,190547,159413,5175,568,375,25016
2016,아프리카,57326,26411,5843,980,2597,21495
2017,합계,13335758,10415594,177071,54890,302652,2385551
2017,아시아주,10774143,8727244,140159,23281,276377,1607082
2017,미주,1117107,831669,5623,27976,6872,244967
2017,구주,936057,669488,21107,2120,16023,227319
2017,대양주,189557,160815,3823,497,465,23957
2017,아프리카,49316,25939,6339,1016,2905,13117
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
